Fibre Radius in mm,Fibre Angle in Degrees,Fibre Youngs Modulus in N/mm^2,Buckling Load for first eigenmode in N,Buckling Load for second eigenmode in N,Buckling Load for third eigenmode in N

106.09088301937524,20.55449530187437,575562.4565129067,' 9049.2,' 9951.2,' 26466.'

79.18633624181987,76.11544484112468,267536.7379538349,' 4341.5,' 4573.8,' 12685.'

112.20651256830776,7.540978587943847,314811.99014998064,' 5084.9,' 5668.9,' 15088.'

55.10823003533834,33.74240641038904,659904.518651753,' 10571.,' 11101.,' 30717.'

57.25685182408944,35.514833766898256,737933.8700834729,' 11837.,' 12510.,' 34289.'

89.184868342571,62.861327396738254,469339.2152342581,' 7486.0,' 7992.6,' 21798.'

121.65101344402478,2.1053154508942558,626957.5106494611,' 34378.,' 93192.,'1.58770E+05'

78.50976055629502,60.03183516959598,226191.97583033564,' 3681.5,' 3883.8,' 10776.'

27.059986350514613,8.209388363673806,363566.6749195645,' 5825.8,' 6119.9,' 16997.'

60.6401568998584,20.7826052417605,692730.2550645854,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

108.19513386198618,57.510220021796364,493971.9369264672,' 7748.5,' 8581.3,' 22774.'

26.131981660783076,43.103999590224255,759861.512624866,' 12227.,' 12811.,' 35528.'

44.939325533096884,84.64054323064272,167769.13513159062,' 2696.6,' 2829.0,' 7866.6'

26.39527138119594,35.26820912902472,785786.3199812477,' 12572.,' 13167.,' 36724.'

35.96644873663903,28.46586403547903,401044.08937607834,' 6420.7,' 6734.7,' 18792.'

49.17559528413665,69.88436795494229,522808.7832250256,' 8384.3,' 8813.7,' 24389.'

119.77462232601735,48.93899162097753,645507.1372280754,' 9731.7,' 11286.,' 28774.'

85.39279117115495,33.91774487641501,239103.15197364523,' 3853.3,' 4106.1,' 11331.'

96.28724744987207,44.54901822343529,45058.650892900485,' 823.31,' 898.96,' 2466.5'

88.72086185275023,22.058008356445356,302106.71856961533,' 4856.1,' 5192.0,' 14241.'

95.86417803592138,17.42606441671016,761009.0649541025,' 12020.,' 13008.,' 34876.'

87.55091081056042,5.872253086725666,500983.0965110216,' 7954.9,' 8455.4,' 23164.'

51.746165416324835,55.1457599701378,486299.71689021064,' 7775.9,' 8130.0,' 22731.'

81.73816053045832,33.064133378472434,122673.97969565944,' 2012.6,' 2136.6,' 5956.8'

114.65665598918763,63.87612493438645,414488.70612137247,' 6599.7,' 7381.4,' 19501.'

107.56959851837125,87.20147512535749,743696.5232628239,' 11492.,' 12734.,' 33567.'

78.79902467563045,50.04354838382302,121502.03811223661,' 2017.2,' 2123.8,' 5923.8'

46.09318574638641,69.37936075998263,793250.3678706263,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

37.2273546913882,67.8929403943286,130256.24979046133,' 2098.3,' 2212.9,' 6116.5'

38.08935616988086,33.18889246886342,593553.2303232326,' 9478.7,' 9876.4,' 27692.'

41.90644168546547,80.24278332459878,80010.85599112582,' 1289.6,' 1358.3,' 3771.6'

26.709603210120765,8.413645240877035,90578.6519461561,' 1458.4,' 1538.5,' 4217.6'

70.64086768041375,28.910940359961856,383055.80550967733,' 6188.2,' 6488.0,' 18036.'

26.435302904132598,64.8375169577035,469901.08220875845,' 7517.0,' 7866.2,' 21972.'

25.890411634755303,86.31522375655072,296774.47882054345,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

90.53440202338818,69.54706197435459,754523.4822198269,' 11784.,' 12743.,' 34526.'

43.82593788174019,8.92963705602579,744231.287849592,' 11810.,' 12418.,' 34437.'

27.662229584788268,78.90827723863187,341590.31619988516,' 5476.0,' 5733.6,' 15972.'

42.78162293316983,33.33947655376039,138722.99245002604,' 2236.7,' 2338.6,' 6541.1'

95.01615407203197,2.033467807791531,799200.8630294077,' 12516.,' 13598.,' 36323.'

56.93001632481806,47.74797870249268,661352.6218836899,' 10625.,' 11111.,' 30883.'

97.86634286705815,66.46634376164167,623872.5395012116,' 9850.0,' 10734.,' 28696.'

108.67060701687134,16.446151098396232,150775.9772255735,' 2604.5,' 2872.8,' 7814.3'

104.07216680162763,66.24559419771776,644754.5563465797,' 10038.,' 11154.,' 29438.'

88.27091249840379,32.23336787369296,13728.963496291684,' 261.77,' 278.56,' 783.04'

85.77112780778526,41.94988690604255,34680.320077421886,' 611.54,' 660.84,' 1828.6'

75.4481882600048,12.78309367649477,455847.123088734,' 7363.1,' 7769.3,' 21363.'

67.77312827424291,2.7638159195288394,322494.5182583087,' 5219.9,' 5481.9,' 15267.'

87.67270811157752,32.02136439487509,237514.48874438953,' 3865.6,' 4121.2,' 11345.'

108.7538468631442,3.2405554024794516,763522.8291537088,' 11767.,' 13132.,' 34549.'

43.11881519356993,4.177410166345063,345411.82346761867,' 5519.6,' 5826.8,' 16123.'

27.782271855620408,28.172923651431244,662687.172311294,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

124.56252978004281,52.94769689134057,75184.95668960919,' 5708.8,' 15311.,' 25747.'

37.067219148508784,10.590623277875197,690419.7010506858,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

81.79252399461433,54.55507211449958,783448.0539977025,' 12401.,' 13155.,' 35998.'

82.62745822146601,75.35838886400197,289273.9315798675,' 4674.6,' 4965.5,' 13692.'

107.78214090209464,17.99377309372221,506603.61043011164,' 8004.0,' 8847.7,' 23428.'

51.368622260078155,83.13564624342295,528415.7680504583,' 8425.7,' 8885.9,' 24630.'

86.26231149249553,36.9324655927891,174687.70437182926,' 2863.7,' 3059.5,' 8424.8'

39.0000249221213,59.74165947542755,214745.06793110495,' 3410.3,' 3592.9,' 10049.'

27.416235186025915,17.841058896367294,572307.1613477897,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

94.78646111268368,42.216848671440125,52993.14596954106,' 950.18,' 1033.5,' 2846.3'

43.6602579163835,88.63916694100395,523144.67259642715,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

103.79783357676293,84.32992634741571,682394.7844661705,' 10618.,' 11684.,' 31073.'

104.71025223256795,16.08556609240115,697184.761204329,' 10834.,' 11922.,' 31669.'

39.4668291067371,63.13615601128777,346289.09517557867,' 5567.3,' 5862.3,' 16211.'

104.15149264222254,30.77397539537965,326866.7642769617,' 5283.5,' 5788.1,' 15580.'

41.72096946166753,5.086803882944926,372487.6752191139,' 5947.8,' 6256.1,' 17292.'

69.5737687198399,55.18015213724955,247110.62200075688,' 3987.8,' 4191.6,' 11643.'

62.60550283065867,70.9680467243486,263667.7796327862,' 4195.2,' 4408.5,' 12206.'

68.57557641048487,55.88146720008836,157351.59193371402,' 2573.3,' 2707.6,' 7507.9'

97.57014411293203,52.47062572105192,430516.25763181935,' 6934.1,' 7477.2,' 20221.'

54.0518692338225,22.89701119004608,549253.2113486616,s Error: cae exited with an error,s Error: cae exited with an error,Error: cae exited with an error

114.01302514628311,16.532827714372626,277938.054673309,' 4550.1,' 5070.4,' 13490.'

